Municipios de 500 habitantes o más;Sexo;Edad;Nivel de estudios;Periodo;Total
28061 Galapagar;Total;15 y más años;Educación superior;2024;14.137
28065 Getafe;Total;15 y más años;Educación primaria e inferior;2024;18.568
28065 Getafe;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;37.696
28065 Getafe;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;49.319
28065 Getafe;Total;15 y más años;Educación superior;2024;57.430
28066 Griñón;Total;15 y más años;Educación primaria e inferior;2024;964
28066 Griñón;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;2.585
28066 Griñón;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;2.421
28066 Griñón;Total;15 y más años;Educación superior;2024;3.145
28067 Guadalix de la Sierra;Total;15 y más años;Educación primaria e inferior;2024;672
28067 Guadalix de la Sierra;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;1.403
28067 Guadalix de la Sierra;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;1.625
28067 Guadalix de la Sierra;Total;15 y más años;Educación superior;2024;2.197
28068 Guadarrama;Total;15 y más años;Educación primaria e inferior;2024;1.485
28068 Guadarrama;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;3.577
28068 Guadarrama;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;3.829
28068 Guadarrama;Total;15 y más años;Educación superior;2024;5.779
28072 Hoyo de Manzanares;Total;15 y más años;Educación primaria e inferior;2024;567
28072 Hoyo de Manzanares;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;1.256
28072 Hoyo de Manzanares;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;1.839
28072 Hoyo de Manzanares;Total;15 y más años;Educación superior;2024;4.254
28073 Humanes de Madrid;Total;15 y más años;Educación primaria e inferior;2024;1.982
28073 Humanes de Madrid;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;6.183
28073 Humanes de Madrid;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;4.210
28073 Humanes de Madrid;Total;15 y más años;Educación superior;2024;4.049
28074 Leganés;Total;15 y más años;Educación primaria e inferior;2024;28.482
28074 Leganés;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;51.832
28074 Leganés;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;39.873
28074 Leganés;Total;15 y más años;Educación superior;2024;48.445
28075 Loeches;Total;15 y más años;Educación primaria e inferior;2024;733
28075 Loeches;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;2.558
28075 Loeches;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;2.054
28075 Loeches;Total;15 y más años;Educación superior;2024;2.347
28076 Lozoya;Total;15 y más años;Educación primaria e inferior;2024;89
28076 Lozoya;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;158
28076 Lozoya;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;142
28076 Lozoya;Total;15 y más años;Educación superior;2024;186
28079 Madrid;Total;15 y más años;Educación primaria e inferior;2024;333.699
28079 Madrid;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;568.944
28079 Madrid;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;696.743
28079 Madrid;Total;15 y más años;Educación superior;2024;1.408.553
28080 Majadahonda;Total;15 y más años;Educación primaria e inferior;2024;3.736
28080 Majadahonda;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;8.258
28080 Majadahonda;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;13.774
28080 Majadahonda;Total;15 y más años;Educación superior;2024;36.536
28082 Manzanares el Real;Total;15 y más años;Educación primaria e inferior;2024;640
28082 Manzanares el Real;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;1.570
